매입사,고객ID,카드유형,거래일,거래시간,승인금액,할부,인원
국민카드,C-18871,일반,2013-01-01,13:24:36,"14,900",0,1
농협카드,C-39418,체크,2013-01-01,13:40:47,"59,600",0,4
국민카드,C-11332,일반,2013-01-01,13:45:14,"29,800",0,2
신한카드,C-26584,체크,2013-01-01,13:53:50,"32,700",0,3
국민카드,C-16137,체크,2013-01-01,13:56:55,"29,800",0,2
국민카드,C-16097,체크,2013-01-01,13:57:23,"29,800",0,2
신한카드,C-08151,체크,2013-01-01,13:57:53,"29,800",0,2
비씨카드,C-35264,체크,2013-01-01,13:59:09,"29,800",0,2
국민카드,C-42356,일반,2013-01-01,14:10:05,"38,700",0,3
현대카드,C-07510,일반,2013-01-01,14:12:58,"29,800",0,2
비씨카드,C-29208,체크,2013-01-01,14:14:01,"29,800",0,2
비씨카드,C-37380,체크,2013-01-01,14:14:55,"29,800",0,2
비씨카드,C-03605,일반,2013-01-01,14:17:54,"74,500",0,5
국민카드,C-11193,일반,2013-01-01,14:18:31,"44,700",0,3
국민카드,C-11510,일반,2013-01-01,15:02:24,"29,800",0,2
국민카드,C-25537,일반,2013-01-01,15:09:03,"59,600",0,4
국민카드,C-16013,체크,2013-01-01,15:10:23,"29,800",0,2
외환카드,C-35032,일반,2013-01-01,15:13:11,"35,700",0,3
농협카드,C-27533,체크,2013-01-01,15:18:18,"29,800",0,2
삼성카드,C-20114,일반,2013-01-01,15:31:07,"29,800",0,2
롯데카드,C-12911,일반,2013-01-01,15:31:46,"29,800",0,2
삼성카드,C-02615,일반,2013-01-01,15:43:27,"53,600",0,4
신한카드,C-09495,일반,2013-01-01,15:59:47,"29,800",0,2
삼성카드,C-20437,일반,2013-01-01,16:14:48,"23,800",0,2
국민카드,C-16201,체크,2013-01-01,16:25:12,"29,800",0,2
비씨카드,C-30180,체크,2013-01-01,16:32:30,"29,800",0,2
비씨카드,C-38133,체크,2013-01-01,16:40:41,"44,700",0,3
비씨카드,C-35975,체크,2013-01-01,16:48:46,"29,800",0,2
현대카드,C-43205,일반,2013-01-01,16:55:26,"35,700",0,3
신한카드,C-08085,체크,2013-01-01,16:57:36,"59,600",0,4
신한카드,C-09257,일반,2013-01-01,17:06:27,"29,800",0,2
신한카드,C-00269,일반,2013-01-01,17:39:27,"38,700",0,3
국민카드,C-42323,일반,2013-01-01,17:42:29,"14,900",0,1
국민카드,C-15907,체크,2013-01-01,17:44:25,"44,700",0,3
신한카드,C-23622,일반,2013-01-01,17:45:22,"29,800",0,2
비씨카드,C-03796,일반,2013-01-01,17:54:24,"29,800",0,2
삼성카드,C-20587,일반,2013-01-01,17:56:18,"29,800",0,2
신한카드,C-09392,일반,2013-01-01,18:25:31,"29,800",0,2
외환카드,C-22274,일반,2013-01-01,18:27:01,"29,800",0,2
현대카드,C-23795,일반,2013-01-01,18:29:35,"29,800",0,2
